Provinces,2020/3/1,2020/6/1,2020/9/1,2020/12/1,2021/3/1,2021/6/1,2021/9/1,2021/12/1,2022/3/1,2022/6/1,2022/9/1,2022/12/1,2023/3/1,2023/6/1,2023/9/1,2023/12/1
anhui,1255.1,2513.87,2370.22,3225.93,1750.14,2778.49,2588.81,3466.6,1949.11,3054.86,2886.29,3812.37,2127.69,3263.63,3067.64,4007.87
beijing,1685.95,3564.01,3660.54,3995.37,2203.81,4053.27,3833.09,3897.57,2380.64,4022.05,3610.54,3852.88,2542.96,4225.31,3685.43,3818.81
chongqing,1643.19,2257.31,2258.73,2815.74,1924.77,2574.19,2418.11,3025.94,2120.09,2811.61,2557.18,2880.52,2279.4,2209.12,2465.12,2756.08
fujian,2102.66,3478.94,3818.44,4717.77,2831.48,3862.67,3876.69,5239.59,3111.95,4175.9,4259.44,5582.17,3195.95,4133.6,4396.66,5657.15
gansu,180.54,568.0,557.38,743.36,257.93,646.3,609.23,757.04,285.7,712.27,670.94,808.77,316.66,786.07,713.42,870.58
guizhou,670.64,1004.88,983.38,1421.34,841.08,1125.63,1043.27,1560.8,930.52,1242.92,980.89,1665.91,1005.65,718.82,890.17,1324.35
guangxi,893.61,1401.18,1328.63,2229.82,1179.65,1657.97,1504.14,2314.2,1285.9,1802.13,1631.33,2556.4,1406.96,1419.41,1138.5,1968.2
guangdong,2574.32,4285.59,4498.96,7070.84,3805.83,5098.61,5134.44,7307.24,4173.43,5455.53,5567.25,7760.29,4664.76,5921.43,6070.52,8538.55
hainan,58.26,84.31,105.65,143.15,85.83,84.34,113.88,163.04,84.99,93.48,116.37,172.37,89.66,101.48,123.46,179.82
hunan,1867.56,2788.85,2736.6,4470.76,2348.24,3080.87,2992.96,4858.09,2605.04,3358.43,3329.55,5187.97,2823.44,3393.02,3626.12,5333.49
hubei,1630.68,4073.52,4242.65,6189.25,2962.86,4441.77,4482.27,7144.65,3409.16,5090.14,5080.23,7575.43,3726.79,5323.59,4578.5,7719.36
henan,2144.71,3098.11,3062.24,4817.49,2542.28,3565.61,3036.5,5047.68,2782.58,3900.01,3345.06,5059.3,3039.03,2268.08,2736.1,3433.63
heilongjiang,29.33,270.81,374.61,531.62,37.69,318.0,404.41,568.4,41.37,342.55,431.71,598.9,45.45,363.97,434.13,582.5
hebei,733.97,1691.72,1562.21,1960.19,905.92,1776.76,1736.17,2065.75,981.81,1916.55,1891.63,2161.35,1058.79,2043.63,1785.68,2373.16
jiangsu,4212.13,8216.55,8868.59,13954.37,5048.02,8877.16,9233.04,15086.27,5439.27,9432.71,9982.74,15805.33,5804.53,10112.25,10632.84,16590.53
jiangxi,1330.65,1980.73,1969.04,3368.74,1691.56,2237.29,2167.72,3666.38,1867.79,2447.35,2412.13,3967.57,1875.68,2479.58,2440.15,4032.36
jilin,99.7,468.78,634.88,802.42,138.87,504.21,717.85,885.36,96.19,481.23,810.45,712.88,118.31,511.11,818.57,771.88
liaoning,337.59,928.71,1114.43,1435.47,429.22,1072.88,1178.51,1364.29,467.86,1127.76,1155.88,1185.37,510.05,1226.61,1249.58,1340.34
ningxia,45.6,153.23,187.97,255.01,72.69,171.76,212.67,224.48,80.11,189.01,222.04,234.69,95.9,211.7,221.91,212.04
neimenggu,58.09,280.68,336.82,458.85,116.67,350.59,353.18,458.94,131.46,367.11,378.52,455.75,149.58,404.88,411.33,493.75
qinghai,77.2,91.32,137.04,206.68,91.49,116.33,162.73,216.78,97.31,124.84,146.16,198.15,84.68,149.6,167.97,211.83
shanxi,980.52,2269.55,2150.5,3100.56,1428.98,2325.62,2232.48,3188.37,1570.19,2557.62,2521.51,3418.55,1734.92,2636.39,2486.73,3482.47
shanxi,522.97,1246.01,1525.71,1818.95,656.28,1405.73,1641.13,1974.57,723.94,1539.23,1819.26,2063.05,790.88,1602.52,1633.11,2120.62
shanghai,1213.07,2064.01,2238.46,2761.5,1672.82,2349.63,2310.59,2902.95,1721.93,1939.07,2570.17,3042.73,1883.83,2452.34,2701.38,3008.24
shandong,2005.32,3690.94,3716.94,5534.1,2405.31,4061.17,4065.58,5879.42,2619.92,4364.5,4412.93,6162.28,2814.87,4667.56,4660.22,6543.92
sichuan,2615.96,3795.45,4076.81,5124.48,3144.86,4345.85,4447.28,5413.2,3412.52,4668.09,4669.28,5925.33,2855.04,4489.78,4478.46,5578.26
tianjin,570.86,1089.01,1264.33,1463.97,800.92,1230.21,1257.68,1364.24,826.79,1281.24,1328.35,1314.92,918.32,1356.02,1364.41,1433.51
xizang,30.41,58.06,56.82,149.45,40.62,62.1,45.04,122.97,46.63,40.07,24.66,92.43,39.82,46.46,51.81,90.8
xinjiang,121.89,683.97,862.44,1024.82,153.81,815.81,1032.06,1123.09,178.62,937.41,1081.27,904.2,202.77,1009.83,1189.32,1003.95
yunnan,888.71,1568.44,1582.28,2685.39,1226.3,1714.11,1617.52,2778.66,1377.52,1837.1,1830.66,3123.37,1400.63,1754.17,1651.4,3084.68
zhejiang,3335.39,5256.99,4803.57,7542.66,4537.23,5805.46,4990.81,7677.47,4898.64,5968.0,5541.72,7452.71,5199.86,6175.92,5740.35,7477.38
