Provinces,2020/3/1,2020/6/1,2020/9/1,2020/12/1,2021/3/1,2021/6/1,2021/9/1,2021/12/1,2022/3/1,2022/6/1,2022/9/1,2022/12/1,2023/3/1,2023/6/1,2023/9/1,2023/12/1
anhui,7689.78,9534.41,9899.89,10937.43,9416.0,10836.0,11176.0,11137.0,10300.0,11360.0,11890.0,11058.0,10873.0,12065.0,12512.0,11601.0
beijing,7423.19,8667.85,9459.54,10392.67,9013.0,10255.0,10510.0,11268.0,9456.0,9974.0,10611.0,11500.0,9971.0,10696.0,11130.0,11964.0
chongqing,4991.28,6205.95,6471.35,7372.85,6018.0,6912.0,7079.0,8068.0,6432.0,7015.0,7275.0,7854.0,6828.0,7300.0,7782.0,8236.0
fujian,8931.24,10783.59,11290.34,12603.38,10888.0,12226.0,12453.0,13999.0,11619.0,12483.0,12732.0,14931.0,11803.0,13195.0,13286.0,16071.0
gansu,1898.88,2175.29,2319.8,2585.7,2197.0,2511.0,2644.0,2873.0,2474.0,2750.0,2884.0,3013.0,2662.0,2859.0,3087.0,3256.0
guizhou,3708.04,4271.33,4647.57,5233.47,4297.0,4659.0,4870.0,5633.0,4795.0,4970.0,4908.0,5337.0,4922.0,5258.0,5112.0,5621.0
guangxi,4659.48,5502.9,5751.49,6207.0,5614.0,6287.0,6325.0,6983.0,5919.0,6383.0,6580.0,7304.0,6248.0,6431.0,6968.0,7555.0
guangdong,22579.61,26696.58,29105.15,32770.29,27241.0,30197.0,31100.0,36182.0,28734.0,31265.0,32485.0,37030.0,30392.0,32956.0,33497.0,38828.0
hainan,1121.19,1270.01,1459.26,1715.78,1408.0,1519.0,1610.0,1967.0,1636.0,1566.0,1665.0,2023.0,1807.0,1707.0,1843.0,2194.0
hunan,8767.18,10099.98,10633.14,12042.27,10119.0,11240.0,11450.0,12904.0,10861.0,11660.0,12185.0,12853.0,11439.0,12103.0,12713.0,13758.0
hubei,6196.6,11061.17,11447.15,14299.57,9861.0,12801.0,11954.0,15475.0,11003.0,13363.0,13020.0,15356.0,11726.0,14148.0,13780.0,16150.0
henan,11346.48,13851.17,13998.07,15063.71,13087.0,15341.0,14956.0,14687.0,13348.0,15485.0,15353.0,14034.0,14263.0,15583.0,15688.0,13598.0
heilongjiang,2380.68,2831.08,3335.1,5086.57,2681.0,3261.0,3744.0,5172.0,2979.0,3422.0,4074.0,5357.0,3103.0,3499.0,3990.0,5292.0
hebei,7364.59,8891.85,9315.0,10442.4,8731.0,9889.0,10306.0,11471.0,9522.0,10221.0,10768.0,11477.0,9991.0,10681.0,10945.0,12327.0
jiangsu,21003.74,25634.9,26959.44,29209.6,26036.0,29281.0,29911.0,32164.0,27824.0,29004.0,31717.0,33544.0,29330.0,30982.0,32645.0,35265.0
jiangxi,5357.86,6343.16,6682.94,7397.99,6603.0,7379.0,7665.0,8181.0,7083.0,7717.0,7909.0,8505.0,7153.0,7891.0,8067.0,9089.0
jilin,2381.09,3021.94,3321.58,3531.37,2749.0,3261.0,3429.0,3725.0,2540.0,3076.0,3683.0,3519.0,2790.0,3262.0,3731.0,3748.0
liaoning,5056.97,6000.06,6512.4,7441.95,5826.0,6724.0,7066.0,7953.0,6274.0,7046.0,7478.0,8028.0,6654.0,7326.0,7688.0,8541.0
ningxia,812.42,960.09,1036.9,1146.93,981.0,1095.0,1179.0,1333.0,1127.0,1253.0,1257.0,1468.0,1214.0,1277.0,1283.0,1541.0
neimenggu,3527.18,4111.34,4563.75,5055.77,4345.0,4985.0,5549.0,6287.0,5155.0,5467.0,5833.0,6934.0,5418.0,5706.0,5995.0,7508.0
qinghai,652.99,735.84,776.04,844.94,750.0,815.0,853.0,967.0,841.0,862.0,884.0,1036.0,896.0,916.0,904.0,1083.0
shanxi,5400.39,6287.74,6804.72,7521.29,6404.0,7193.0,7720.0,8805.0,7318.0,8041.0,8313.0,9166.0,7698.0,7897.0,8229.0,9962.0
shanxi,3669.54,4212.42,4701.07,5252.55,4507.0,5154.0,6040.0,7169.0,5529.0,6071.0,6479.0,7505.0,5834.0,5873.0,6374.0,7617.0
shanghai,7903.48,9524.57,9957.17,11578.08,9529.0,10642.0,10857.0,12625.0,10097.0,9417.0,11713.0,13582.0,10615.0,10934.0,11720.0,13950.0
shandong,14839.7,17949.11,18968.13,21041.23,17959.0,20586.0,21439.0,22891.0,20062.0,21932.0,22856.0,22727.0,20496.0,23787.0,24092.0,23694.0
sichuan,10144.22,11882.96,12678.68,13795.78,11879.0,13296.0,13804.0,15109.0,12774.0,13469.0,14301.0,16066.0,13395.0,14546.0,15514.0,16678.0
tianjin,2856.55,3402.08,3745.21,4004.15,3393.0,3863.0,4099.0,4330.0,3518.0,4057.0,4252.0,4305.0,3689.0,4098.0,4380.0,4570.0
xizang,384.26,451.88,467.31,599.29,474.0,446.0,513.0,647.0,524.0,462.0,494.0,670.0,583.0,500.0,566.0,744.0
xinjiang,2979.19,3417.98,3388.54,4015.03,3463.0,3967.0,4143.0,4739.0,4064.0,4398.0,4852.0,4729.0,4237.0,4484.0,5117.0,5288.0
yunnan,5110.63,6004.78,6383.28,7057.03,5946.0,6717.0,6860.0,7639.0,6378.0,6902.0,7254.0,8022.0,6785.0,7245.0,7504.0,8487.0
zhejiang,13118.62,15924.49,16666.09,18979.86,16419.0,18153.0,18398.0,21071.0,18059.0,18506.0,19725.0,21771.0,19085.0,19955.0,20645.0,22868.0
