Provinces,2020/3/1,2020/4/1,2020/5/1,2020/6/1,2020/7/1,2020/8/1,2020/9/1,2020/10/1,2020/11/1,2020/12/1,2021/3/1,2021/4/1,2021/5/1,2021/6/1,2021/7/1,2021/8/1,2021/9/1,2021/10/1,2021/11/1,2021/12/1,2022/3/1,2022/4/1,2022/5/1,2022/6/1,2022/7/1,2022/8/1,2022/9/1,2022/10/1,2022/11/1,2022/12/1,2023/3/1,2023/4/1,2023/5/1,2023/6/1,2023/7/1,2023/8/1,2023/9/1,2023/10/1,2023/11/1,2023/12/1
anhui,6.2,9.1,7.8,8.0,5.3,8.6,9.0,8.5,12.5,12.0,15.1,10.7,9.8,9.2,9.7,4.6,4.3,3.0,1.1,-1.4,7.0,-1.5,5.2,6.6,4.0,7.3,7.5,8.5,6.9,5.0,3.6,8.5,5.9,6.7,8.5,8.8,7.5,6.5,8.6,9.0
beijing,-13.0,4.8,5.3,10.8,8.8,5.9,5.4,1.8,8.3,13.3,23.3,24.9,61.1,45.5,32.5,34.9,35.1,18.3,16.1,4.8,8.1,-31.1,-39.6,-25.4,-21.8,-22.8,-21.0,-12.4,-16.4,-13.9,-1.2,9.4,7.5,3.3,-6.0,2.5,2.0,3.1,1.5,7.0
chongqing,7.5,9.2,9.7,10.6,10.6,10.8,10.5,9.7,9.4,8.7,10.4,7.8,7.8,6.8,8.7,6.7,4.2,3.9,2.7,0.6,9.5,2.9,3.9,6.1,4.4,-18.2,13.1,8.2,-8.1,3.1,5.6,-2.4,2.6,6.7,6.5,24.3,2.1,3.2,18.6,7.8
fujian,3.6,4.5,6.3,5.9,5.4,4.4,6.0,5.4,3.6,3.2,17.8,10.4,6.9,6.7,6.6,2.8,2.0,4.2,7.7,9.0,7.3,4.6,4.0,2.1,3.3,8.4,8.8,6.9,4.1,0.9,-7.8,-4.8,2.6,4.7,5.3,5.4,6.7,5.0,7.5,7.6
gansu,-6.7,9.0,15.1,9.1,7.8,10.6,6.9,7.4,8.8,5.1,12.8,6.1,5.1,10.6,8.5,7.4,5.2,5.4,3.0,9.5,9.1,6.4,7.2,4.6,-2.8,5.0,8.8,8.1,8.7,2.1,8.2,8.1,7.0,1.7,5.9,9.7,9.3,6.5,8.0,7.8
guizhou,12.9,2.9,3.5,6.0,6.0,3.1,6.1,7.2,11.1,12.1,12.9,12.3,12.8,4.0,5.9,6.1,1.8,9.5,18.5,20.1,12.4,9.9,11.8,6.3,4.7,2.3,-2.7,2.5,-9.2,-5.8,8.3,6.7,3.4,7.3,7.1,6.8,13.8,2.3,2.0,2.1
guangxi,-1.0,1.0,6.3,2.3,4.6,3.6,4.5,2.9,7.1,7.3,11.3,13.0,10.5,10.2,5.2,2.2,-5.9,-2.1,-0.3,7.4,7.0,3.0,4.5,-0.9,5.3,9.5,14.3,9.1,1.9,-2.8,6.0,3.2,-0.8,4.6,5.8,8.6,4.6,4.9,6.6,7.9
guangdong,-4.7,3.6,-0.5,3.9,7.9,6.5,8.3,6.1,8.3,8.5,10.2,12.4,11.2,9.1,3.7,5.0,-1.5,2.3,2.1,1.0,6.2,0.8,1.8,1.7,1.1,1.4,5.5,-0.1,-3.9,-3.8,6.2,-0.4,1.9,7.2,4.4,4.8,4.6,5.7,8.1,9.5
hainan,-7.7,-6.1,-8.4,-6.5,3.0,-1.5,-3.3,-4.3,-4.0,2.7,9.6,10.6,12.5,2.7,5.8,10.4,6.8,10.5,11.4,5.3,7.4,-12.8,-16.2,3.5,6.4,-6.4,-0.6,-1.9,3.9,-0.7,21.1,38.0,31.7,16.5,9.7,25.2,19.0,14.4,16.0,18.9
hunan,6.1,6.2,4.1,5.4,4.8,6.1,7.2,6.9,7.4,8.4,13.6,9.7,7.4,7.2,4.2,1.8,5.3,6.5,6.3,8.2,9.0,5.1,5.3,6.1,6.9,7.8,8.2,7.5,6.3,6.1,1.0,1.4,2.7,4.5,0.7,-0.6,5.1,6.1,6.6,6.6
