Provinces,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3
shanghai,5770.351249957,23315.8945837,24557.51416654,27306.07833313,16376.062499764,28761.9133331,25846.90250018,30858.8908332,17206.894583022,8064.928750163,29843.9629168,33766.6695834,23546.044999676,34478.99249997,23233.8912497
yunnan,46853.182499706,68813.742499827,47622.944166714,70752.24041677,67307.209166524,74519.519999848,51928.018749934,76949.39333337,78717.611250168,78430.25708376,60748.319166379,91557.067916386,87090.519166799,89311.509583297,41106.020416579
neimenggu,13613.437083255,45542.258749963,44051.861666703,40282.3125001,23100.78083342,51469.505416598,49199.16750003,49867.07791695,28417.736666823,53837.49791687,54687.32666664,44869.565833258,29901.248749974,60033.35875022,39720.024583536
beijing,1344.029583334,8602.8087498,9188.47416665,10180.38458345,4594.617083411,13307.4458333,11685.877916767,14484.17041665,6690.657083356,13808.40708337,14760.5333333,10079.30333334,8434.932500174,14591.0895835,7978.20541658
taiwan,0.2,0.0,0.375,0.35,0.583333333,0.370833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jilinsheng,1786.240416668,9421.519166711,8717.75750009,8767.458749989,4586.723750023,19395.354166632,16988.661666633,17459.150000006,7319.57791669,19638.541249996,23541.046250132,21657.49500009,13122.040416564,27778.400416675,14029.83291668
sichuan,46599.525416626,78699.540833732,68989.257083126,93900.93250039,86210.140416452,104538.031666556,82686.781249593,109224.348334057,107689.379166431,113111.965416154,89634.984166892,129359.353749737,105932.23499974,114537.164583773,57418.923333616
tianjin,177.469999999,599.428333337,630.544166668,787.56208335,960.603749996,2458.13541668,1887.146250014,2833.828333287,1863.871249964,2737.57208333,2620.689166644,2405.48625002,1830.112083336,2970.9416667,1606.752916673
ningxia,2996.04291667,12560.335000002,11719.552500081,10161.194166586,7236.82624999,18145.184583394,16404.162083357,13622.189583336,8886.31208332,20808.64541664,16790.246250056,13170.841249983,10752.915000052,19132.0408333,10512.98458332
anhui,43322.154167067,104892.408750047,94226.294166813,124052.903749824,84940.977500747,133000.815832019,117855.576666414,159591.060416787,100793.252499972,140882.471250457,131177.086666844,147462.582500889,111658.00375017,137017.185416448,83791.719999791
shandong,52490.042083296,125546.18999984,110179.742916722,111675.602915961,83960.226666302,125083.828750115,99994.599166857,131766.420833343,90593.120833427,132474.429166757,124459.056249787,129033.417917422,102719.758333087,125804.632499957,73074.870832583
shanxi,14895.292499984,52468.059166607,52593.788750203,49205.872500147,32979.205416618,64815.703749641,59067.766666451,69744.88374955,43899.651249676,82636.997083159,79838.523750229,69303.558749805,50107.323749878,80929.433750119,49338.856249959
guangdong,29390.7791667,58767.771250013,69222.020416944,86628.008749754,67346.63958357,90939.141666978,96898.614583332,108709.335000415,74156.689166564,98559.855000011,120001.759999092,123937.075833433,91817.433749426,111764.675416254,82764.46208334
guangxi,36188.232083292,62495.057083519,64938.565416663,81588.797499365,73621.312499625,84527.921667124,89521.515416893,92022.629582537,70218.833333422,79636.235833527,93422.610000077,96305.266665967,77280.831250335,76325.053749321,50001.0354164
xinjiang,4456.558333303,17934.37583334,15070.647083313,16240.579583313,13643.761250044,27514.614999916,28442.2895833,26934.988750077,16679.279583411,33858.118333372004,28480.273750061,15881.649166695,21263.582499702,38671.359166605,25036.133750009
jiangsu,54899.183749815,130867.267500214,131675.631666846,156021.14916693,108864.217916256,177678.31000001,152539.6608328,193767.02624994,117897.004166255,149846.568750317,138074.558749707,157791.120833927,116426.059166598,146534.700832846,86714.190000153
jiangxi,39271.793750039,74770.050000173,70165.234166992,100136.91624981,76650.16958242901,84117.27041661,91563.194167099,113298.363333854,90001.247916703,89647.813332525,105713.418750044,118550.07791699,101316.437083329,99841.11875028,67564.976666757
hebei,13768.534583351,42383.918333448,42244.844999911,47082.841250189,29796.982083219,63383.142916082,50644.398749947,57595.847916438,43513.16916652,72012.198749083,68226.334583593,57388.555000055,52242.641667068,70073.192084062,38976.304166719
henan,35837.808333321,76266.533333178,67323.840833315,67484.387083274,59882.243333169,79802.820416967,63955.822499893,105247.269166953,79204.251249988,105223.212916146,85094.219166334,85447.121250037,81353.319167056,82971.537916487,49284.260416514
zhejiang,42861.787499903,109235.20875024,121188.069583137,137308.354167043,83322.915415681,150468.359583376,160714.285000473,174324.11625026,108989.260832881,164387.378749683,164598.679582421,161628.943332523,116953.155416845,165527.27958245,113287.28749982
hainan,2576.6020833,6371.99375003,6719.924583345,7388.296666721,6532.849583292,10860.906250173,10052.515416647,10382.604999813,8968.246250155,12581.223750438,10586.89624994,13557.785833562,9093.159583352,13408.025000063,9552.834999903
hubei,17762.099583253,61828.188749896,63748.490416275,89468.642499759,72171.392499303,97261.49833328,82571.504167287,108097.621666726,79339.079166218,97907.037916893,90268.577916727,98356.984999436,80989.980416826,91828.892499946,58667.212916836
hunan,45895.003750612,78624.885833305,72661.2983334,94803.534584216,74166.819999645,84085.021249603,93453.903749803,105093.594582644,72868.429583773,84239.578749667,100966.014167033,105969.369166707,77397.484166584,83053.067500324,54533.25708299
aomen,0.0,0.0,0.4708333329999999,2.233333334,0.633333334,1.2125,0.0,0.241666667,0.0124999999999999,0.170833333,0.045833334,0.0,0.0,0.229166666,0.879166668
gansu,12510.287916651,36853.663749928,34825.587083362,31906.708750082,22292.803750008,50477.888749958,44988.735833325,38415.170833365,27081.343333362,58700.489166638,52548.480416664,44068.330416554,29876.749999966,58465.4991667,36367.735416703
fujian,6588.015000007,14830.796666678,16778.092083295,19212.083750118,15212.029999953,20096.416250071,23082.524166635,24985.923749898,20438.634583459,23111.751249854,32771.674166623,30291.740416623,23570.650833366,28904.534999927,19651.523333372
xizang,299.867916674,2991.445000011,2650.70625001,1866.83750004,1018.087500004,2795.150000001,2481.19208331,1864.423333317,883.477916665,4172.030416691,2091.847083338,1018.88458334,1742.222499993,5717.17125002,3502.3645833
guizhou,26706.963750044,49164.88416658,44879.300416313,54100.55333337,41571.941667115,54976.798333927,53498.33083382,51577.629166453,39056.712082967,48272.25416623,50866.82916649,65104.86250014,51905.311250016,62489.971250953,35443.27166688
liaoning,4752.881250035,15599.099583294,15432.01958329,17633.172499996,12952.361249976,26766.558333387,26112.583749886,25859.353749841,15849.93458331,33927.817500045,33417.599166654,32553.305416767,23553.234583248,41119.697499958,20162.241666627
chongqing,13693.713333417,27652.95874973,28507.1020833,33131.18000033,27236.902499937,35347.535833300004,36298.2512502,39295.4504166,33818.767916826,34595.7987502,34504.4774997,39873.135,39400.64874986,31979.162500133,17676.16125018
shanxi,13288.847916679,32506.529583378,30593.314166523,30436.718333165,29928.627083106,42911.111666455,31961.958333184,43752.27916668,32359.139166814,50202.159166751,40984.347500351,41403.887083323,33454.72208342,42874.926250029,30094.661666705
qinghai,864.83583332,6027.853749995,6985.213333372,4599.784166686,1786.844583331,8229.878333326,8648.333749998,6329.896666627,2208.842083354,8460.673333326,9578.203333366,4872.157500018,2866.977916683,10502.572500043,7640.143333305
xianggang,0.2125,0.0,0.0,0.0,0.8208333329999999,1.425000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.283333333
heilongjiang,1728.677083334,10598.152499971,11647.736249956,13889.529583332,7242.974166741,21277.709583407,20093.869583076,19221.146249948,10198.447083365,23252.83333332,23916.091250088,24163.134583341,11541.922499913,26525.16166675,13716.641666655
