Provinces,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3
anhui,652.27416667,3940.39249998,4184.968333375,6592.001666672,3642.569999999,9065.936666687,9712.159999981,10944.474999988,4379.87125003,9404.117916722,10759.066666701,7547.855416673,4455.02791667,7667.793749982,5632.054166722
beijing,65.886666667,737.019166669,683.989166659,801.672500006,248.665416675,954.145416721,770.52166666,783.361249995,199.232916665,663.397916659,803.349583325,486.208750005,266.121666668,682.898333323,346.549166666
chongqing,210.141666669,1015.399166669,1140.359999994,1343.649166642,1156.544583347,1570.481666687,1780.018333343,1548.273750026,1009.967083326,1438.52958333,1898.508333327,1619.109166657,1004.654166703,1363.040416676,970.897499996
fujian,143.321250003,704.730416656,867.504999998,931.925000002,672.760833331,755.756250003,863.237916652,1091.223333327,551.104999998,476.929999998,903.14875,691.487916666,474.073749998,537.485000003,407.395416663
guizhou,479.453333335,1849.027083343,2119.030833349,3336.670833373,2407.52333333,3346.042916641,3144.885000002,2263.499166681,1110.247083329,1655.331666669,2037.927083332,1839.247916666,1239.188333334,2331.507916677,1046.827083336
gansu,741.887083339,5149.408333368,4853.293749981,3101.007499994,1284.551249999,5554.415416651,5637.353333356,2173.737499977,988.265833337,4668.602916671,4878.060000007,3242.52708331,1105.771666666,3962.31458334,2865.674583315
guangdong,1013.484166671,4256.963333331,5465.555833309,7311.744166668,4912.704166671,5390.8225,6603.034166713,7765.958333348,3596.024166669,4189.867916694,6170.645833349,6333.716249994,4054.012916691,4106.339583315,3440.862500005
guangxi,1209.957499998,6491.126666699,7894.64541664,10366.878750034,9365.235833309,10516.86541662,12007.876249984,11886.747083376,6554.87000003,8381.07,12685.573333335,11428.869166734,5636.724166723,6535.076249968,4449.904999971
heilongjiang,61.955833328,1887.619166657,3178.054166663,2160.684166687,78.978749997,4778.457916618,5783.789166685,1659.707499974,52.222499999,2629.408333321,5485.417083304,3086.681249981,592.486666657,4878.368749979,2681.752500009
hunan,120.330000004,1006.566249988,1527.474583333,2335.741666671,1585.890416676,1623.583750017,3654.058333338,3070.190833311,1029.054583324,1813.178750008,4037.911250008,2915.78958334,1132.755416656,1869.086666659,2215.700833343
hubei,97.58208333,2608.551250025,2986.692083335,3999.705416681,2636.142500005,4606.281666673,5070.85749996,5447.472083308,2357.028750001,4639.062500025,5763.013749981,4726.334166661,2796.682083316,4569.561249992,3821.456249995
hainan,55.101666667,318.803749998,326.455416666,434.264583333,352.790833336,355.790416675,281.129583332,436.054999997,557.653749994,976.359166675,1179.062916662,905.799166681,445.458333327,581.969583329,325.125833332
henan,1263.963750002,5615.495416681,5168.678749994,4611.533749989,4296.968333324,7155.368750017,4837.106666681,7399.083750013,3977.490416664,10347.51666665,9570.155833331,6662.155416672,4069.92249998,6523.945416702,4434.297500026
hebei,707.766250002,5073.69833331,5277.585833312,5151.830416667,2104.438333329,5784.830000026,3965.740833333,3393.502083328,1434.304583343,4983.795833336,5502.563333321,4415.798749968,2214.801250008,4847.041249987,2798.805833324
